QID,Question,OptionA,OptionB,OptionC,OptionD,Answer,Marks
Q0434,Which action strengthens professional credibility?,Admitting uncertainty and verifying facts,Pretending to know every answer,Hiding mistakes,Refusing questions,A,2
Q0435,"If a project's official details are revised, the agent should:",Update future communications accordingly,Continue using previous information indefinitely,Ignore the revision,Create independent project details,A,2
Q0436,Ethical behaviour requires an agent to:,Avoid discrimination among clients,Serve only repeat customers,Give priority based only on commission,Hide better alternatives,A,2
Q0437,"Before accepting any marketing material from a promoter, the agent should:",Check whether it matches official project information,Publish it immediately,Remove important conditions,Rewrite project details,A,2
Q0438,"If a client asks for advice beyond the agent's professional competence, the agent should:",Recommend consulting an appropriate expert,Invent an answer,Discourage professional advice,Ignore the request,A,2
Q0439,Which of the following best demonstrates fairness?,Providing equal access to verified information,Sharing exclusive facts with selected buyers,Concealing defects from first-time buyers,Misrepresenting project features,A,2
Q0440,The best way to avoid misunderstandings is:,Confirm important points in writing where appropriate,Depend only on verbal discussions,Avoid documentation,Leave terms open to interpretation,A,2
Q0441,"If an agent notices inconsistent information between two project documents, the agent should:",Clarify the inconsistency before advising the buyer,Ignore the difference,Choose the more attractive version,Use whichever document is older,A,2
Q0442,Professional integrity requires an agent to:,Refuse to make unsupported promises,Promise guaranteed appreciation,Guarantee loan approval,Guarantee resale value,A,2
Q0443,Which practice best supports consumer confidence?,Honest disclosure of verified information,Aggressive selling,Withholding important facts,Creating artificial urgency,A,2
Q0444,An agent should review project information:,"Periodically, especially before major marketing activities",Only once,Only after possession,Never,A,2
Q0445,"If a buyer asks for clarification regarding terminology used in project documents, the agent should:",Explain using the documents and applicable definitions,Invent a simplified meaning,Avoid answering,Refer only to advertisements,A,2
Q0446,A professional relationship with clients is strengthened by:,Consistent honesty and reliability,Hidden conditions,Frequent changes in information,Misleading comparisons,A,2
Q0447,Which practice is inconsistent with ethical real estate service?,Concealing material facts,Maintaining accurate records,Respecting client confidentiality,Using verified information,A,2
Q0448,"When buyers compare projects, the agent should:",Present objective information without unfair criticism,Spread rumours about competitors,Hide competing options,Make unsupported comparisons,A,2
Q0449,An agent's long-term professional success depends primarily on:,Trust earned through ethical conduct,High-pressure sales,Misleading advertisements,Temporary discounts,A,2
Q0450,The foundation of a successful real estate practice under RERA is:,"Compliance, transparency, professionalism, and consumer trust",Maximizing commission alone,Avoiding documentation,Relying only on verbal agreements,A,2
Q0451,The requirement of maintaining a separate bank account for a registered project is primarily intended to:,Increase bank deposits,Ensure project funds are used for the concerned project,Reduce home loan interest,Increase brokerage,B,2
Q0452,The amount deposited in the designated project account should generally be utilized for:,Construction and land-related costs of that project,Personal expenses of the promoter,Marketing unrelated projects,Purchase of office furniture,A,2
Q0453,"Before withdrawing money from the designated project account, withdrawals should comply with:",The requirements prescribed under the RERA Act,Only the promoter's approval,Only the buyer's consent,The contractor's recommendation,A,2
Q0454,Which professional is generally associated with certifying project progress for fund withdrawals under RERA?,Architect,Engineer,Chartered Accountant,"All of the above, as required under the Act",D,2
Q0455,A real estate agent should avoid telling buyers that:,Project funds can be freely used for any other business,RERA contains financial compliance requirements,Buyers should verify official disclosures,Financial discipline is important,A,2
Q0456,The purpose of financial compliance under RERA is to:,Improve project completion discipline,Increase stamp duty,Reduce municipal taxes,Control property prices,A,2
Q0457,Which stakeholder is primarily responsible for complying with project fund management requirements?,Promoter,Allottee,Real Estate Agent,Housing Society,A,2
Q0458,"If a buyer asks how project funds are safeguarded under RERA, the agent should:",Explain the financial safeguards provided under the Act,Guarantee that no delay will ever occur,Avoid answering,Give personal opinions,A,2
Q0459,Proper financial discipline mainly benefits:,Buyers,Promoters,Lenders,All of the above,D,2
Q0460,A project with sound financial management is generally more likely to:,Progress in an organized manner,Avoid all legal obligations,Eliminate construction costs,Remove the need for documentation,A,2
Q0461,Which document helps demonstrate financial transparency to buyers?,Official RERA disclosures,Personal bank passbook,Visiting card,Utility bill,A,2
Q0462,A certified real estate agent should:,Avoid making false statements about project finances,Promise unlimited returns,Guarantee zero financial risk,Predict future prices,A,2
Q0463,Financial transparency under RERA primarily aims to:,Increase buyer confidence,Increase brokerage,Reduce documentation,Promote cash transactions,A,2
Q0464,"If a promoter informs the agent about revised project funding arrangements, the agent should:",Share only verified information that may lawfully be disclosed,Speculate about financial strength,Hide material information,Create new financial figures,A,2
Q0465,Which principle supports financial accountability?,Proper record keeping,Destroying records,Verbal accounting,Unofficial estimates,A,2
Q0466,Buyers should rely on:,Verified project information and official disclosures,Market rumours,Social media comments,Informal assurances,A,2
Q0467,An agent should never guarantee:,Fixed investment returns,Project registration details,Availability of official documents,Legal compliance information,A,2
Q0468,Financial compliance under RERA is intended to:,Protect consumer interests,Increase registration charges,Reduce project size,Increase GST collection,A,2
Q0469,Which stakeholder should maintain financial discipline during project execution?,Promoter,Buyer,Broker,Architect,A,2
Q0470,"Before discussing project finances with a buyer, an agent should:",Verify the available official information,Estimate the figures,Depend on hearsay,Use outdated data,A,2
Q0471,"If a buyer asks whether RERA guarantees profit, the correct response is:",No. RERA regulates the sector and provides consumer protections; it does not guarantee investment returns.,"Yes, profit is guaranteed.",Only commercial projects are guaranteed.,Only resale properties are guaranteed.,A,2
Q0472,Which of the following is an example of responsible financial communication?,Explaining facts without promising returns,Assuring fixed appreciation,Predicting future prices with certainty,Guaranteeing resale value,A,2
Q0473,An ethical agent should discuss project finance using:,Verified facts,Personal assumptions,Market rumours,Social media trends,A,2
Q0474,Financial records related to a project should be:,Maintained in accordance with applicable legal requirements,Destroyed after marketing,Shared publicly without restriction,Ignored,A,2
Q0475,Which action strengthens buyer confidence?,Transparent financial disclosures,Hidden charges,Misleading advertisements,Undocumented promises,A,2
Q0476,"If an agent does not know the answer to a finance-related question, the best approach is:",Verify the information before responding,Guess,Avoid the client,Invent an answer,A,2
Q0477,Financial due diligence by an agent helps:,Reduce misunderstandings,Increase disputes,Eliminate legal documents,Increase rumours,A,2
Q0478,Which professional quality is essential when discussing financial matters?,Accuracy,Speculation,Overconfidence,Exaggeration,A,2
Q0479,Which statement is most appropriate?,Buyers should make decisions based on verified information rather than financial promises.,Buyers should always rely on advertisements alone.,Every project gives guaranteed appreciation.,Future market prices are certain.,A,2
Q0480,The overall objective of RERA's financial provisions is to:,"Promote accountability, transparency, and consumer protection in project finance",Increase taxes,Increase brokerage,Eliminate project planning,A,2
Q0481,The primary purpose of the MahaRERA online portal is to:,"Enable registration, disclosures, and public access to project-related information",Issue driving licences,Process passport applications,Conduct municipal elections,A,2
Q0482,A buyer wants to verify whether a project is registered. The most reliable source is:,The official MahaRERA portal,A newspaper advertisement,A social media post,A television commercial,A,2
Q0483,"Before recommending a project, an agent should use the MahaRERA portal to verify:",Registration status and project details,Nearby shopping malls,Local weather,Property tax rates,A,2
Q0484,"If project information on the portal differs from a brochure, the agent should:",Rely on the official information and seek clarification if needed,Ignore the portal,Follow the brochure,Choose whichever version is more attractive,A,2
Q0485,Which of the following may be available through the MahaRERA portal?,Project registration details,Orders issued by the Authority,Agent registration information,All of the above,D,2
Q0486,A real estate agent should encourage buyers to:,Verify important project details through official sources,Depend only on advertisements,Ignore public disclosures,Rely solely on verbal assurances,A,2
Q0487,The registration number displayed on the portal helps:,Identify the registered project or agent,Determine market value,Fix home loan interest rates,Calculate stamp duty,A,2
Q0488,"If an agent notices outdated information in marketing material, the agent should:",Compare it with the latest official portal information before using it,Continue using it,Ignore the issue,Remove all project references,A,2
Q0489,Which practice demonstrates responsible use of the MahaRERA portal?,Regularly checking for updates before advising buyers,Visiting the portal only after a complaint,Never reviewing project information,Depending only on printed brochures,A,2
Q0490,A buyer asks where official project updates can be found. The correct response is:,The MahaRERA portal and official disclosures,Social media discussions,Real estate blogs only,Local gossip,A,2
Q0491,Which stakeholder benefits from easy public access to project information?,Buyers,Promoters,Real Estate Agents,All of the above,D,2
Q0492,"If an order relating to a project is published by the Authority, an agent should:",Review the order before advising clients,Ignore it,Delete project records,Continue using outdated information,A,2
Q0493,Which action best supports transparency?,Guiding buyers to official project records,Hiding registration details,Sharing rumours,Discouraging document verification,A,2
Q0494,A promoter uploads revised project information. The agent should:,Use the revised information after verifying it on the official portal,Continue using old information,Ignore the revision,Create independent project details,A,2
Q0495,A buyer asks whether a project's registration can be checked online. The correct response is:,"Yes, through the official MahaRERA portal","No, only through newspapers",Only by visiting the promoter's office,Only through the bank,A,2
Q0496,Which of the following is an example of good professional practice?,Checking the latest project disclosures before a client meeting,Depending on memory,Ignoring updates,Avoiding official records,A,2
Q0497,A real estate agent should encourage clients to:,Preserve copies of important portal-based documents and records,Ignore digital records,Depend only on verbal discussions,Delete project documents,A,2
Q0498,"If the portal displays a project update that the buyer has not seen, the agent should:",Explain the update accurately and objectively,Ignore the update,Hide the information,Wait until possession,A,2
Q0499,Which quality is most important when using online regulatory information?,Accuracy,Speed only,Marketing skill,Guesswork,A,2
Q0500,The MahaRERA portal primarily supports:,Transparency and informed decision-making,Entertainment,Tourism,Banking operations,A,2
Q0501,"Before sharing a portal screenshot with a client, an agent should:",Ensure it is current and relates to the correct project,Edit the information,Remove the registration number,Crop important details,A,2
Q0502,"If a project has multiple phases, the agent should:",Verify the registration details relevant to the specific phase being discussed,Assume all phases have identical information,Ignore phase-wise differences,Use information from another project,A,2
Q0503,Which action best reflects responsible digital compliance?,Using official records instead of unverified online content,Sharing unverified screenshots,Depending on forwarded messages,Ignoring official notifications,A,2
Q0504,"If an allottee asks for the latest order relating to a project, the agent should:",Help the allottee locate the official order if publicly available,Give a personal opinion instead,Avoid discussing orders,Refer only to marketing material,A,2
Q0505,A real estate agent should verify portal information:,Before making important representations to buyers,Only after possession,Only if requested by the promoter,Never,A,2
Q0506,Which of the following contributes to informed consumer decisions?,Access to updated official project information,Rumours,Marketing slogans,Verbal assurances only,A,2
Q0507,A buyer asks whether a project's details can change over time. The correct response is:,"Yes, official updates may occur, and the latest disclosures should be checked","No, information never changes",Only advertisements change,Only prices change,A,2
Q0508,Which action best reflects digital professionalism?,Confirming online information before sharing it,Forwarding every message received,Ignoring corrections,Using outdated files,A,2
Q0509,A certified agent should use the MahaRERA portal as:,A reliable source of official project-related information,A substitute for every legal document,A marketing platform only,A social networking site,A,2
Q0510,The overall purpose of online disclosures under MahaRERA is to:,"Promote transparency, accountability, and informed property transactions",Increase advertising expenses,Replace written agreements,Reduce documentation,A,2
Q0511,A promoter starts advertising apartments before obtaining registration for a project that requires registration under RERA. What should a real estate agent do?,Continue marketing because registration is under process.,Market only to existing customers.,Decline to market the project until the applicable registration requirements are satisfied.,Advertise without mentioning the registration number.,C,2
Q0512,A buyer wants proof that a project is legally registered. The BEST source is:,WhatsApp messages,Official MahaRERA project registration details,Builder's visiting card,Newspaper advertisement,B,2
Q0513,"A promoter changes the approved layout after registration. Before marketing the revised layout, an agent should first:",Print new brochures.,Offer discounts.,Verify that the required legal approvals and disclosures have been completed.,Begin pre-bookings immediately.,C,2
Q0514,Which of the following is the BEST example of due diligence?,Comparing official project documents before advising the buyer.,Trusting verbal promises.,Depending on social media posts.,Using last year's brochure.,A,2
Q0515,Which stakeholder is responsible for submitting project registration information to MahaRERA?,Chartered Accountant,Promoter,Real Estate Agent,Allottee,B,2
Q0516,A buyer asks whether future property appreciation is guaranteed under RERA. The correct reply is:,"Yes, appreciation is guaranteed.",Only commercial projects are guaranteed.,Only luxury projects are guaranteed.,RERA regulates the sector but does not guarantee investment returns.,D,2
Q0517,A certified real estate agent should maintain professional records mainly to:,Increase commission.,Support transparency and compliance.,Reduce income tax.,Promote advertisements.,B,2
Q0518,Which document normally contains the contractual payment schedule?,Property Tax Receipt,Electricity Bill,Agreement for Sale,Sale Advertisement,C,2
Q0519,A buyer reports that the carpet area mentioned in a brochure differs from the official disclosure. The agent should:,Ignore the difference.,Advise the buyer to rely on verified official documents and seek clarification.,Follow the brochure.,Estimate the area personally.,B,2
Q0520,Transparency under RERA primarily benefits:,Buyers only,Promoters only,Agents only,"Buyers, promoters, and agents",D,2
Q0521,"Before recommending a project, an agent should verify:",Official registration details,Project disclosures,Relevant approvals available through official records,All of the above,D,2
Q0522,Which practice is unethical?,Explaining payment milestones,Providing updated project information,Guaranteeing profits without basis,Encouraging document verification,C,2
Q0523,"During a dispute, which evidence is generally the strongest?",Rumours,Newspaper reports,Signed agreements and official records,Social media comments,C,2
Q0524,An allottee should preserve payment receipts because they:,May serve as important transaction records.,Increase property value.,Reduce registration charges.,Replace agreements.,A,2
Q0525,Which stakeholder executes the project?,Real Estate Agent,Promoter,Allottee,Bank,B,2
Q0526,A professional real estate agent should primarily build trust through:,False urgency,Honest and accurate guidance,Hidden conditions,Misleading comparisons,B,2
Q0527,"Before accepting possession, the buyer should:",Inspect the unit and complete the applicable formalities.,Ignore visible defects.,Depend only on verbal assurances.,Skip documentation.,A,2
Q0528,"If an agent receives revised project information, the FIRST action should be:",Share it immediately without checking.,Verify the revised information before communicating it.,Ignore the update.,Delete previous records.,B,2
Q0529,Which quality is essential for long-term success as a real estate agent?,Ethical conduct,Pressure selling,Aggressive marketing,Exaggeration,A,2
Q0530,Which action is most likely to reduce complaints?,Verbal assurances,Delayed responses,Accurate documentation and communication,Ignoring buyer queries,C,2
Q0531,A project brochure should be prepared using:,Verified project information,Estimated specifications,Personal opinions,Rumours,A,2
Q0532,"If an agent discovers incorrect pricing in an advertisement, the agent should:",Continue using it.,Correct the information before further marketing.,Ignore buyer questions.,Hide the advertisement.,B,2
Q0533,Which stakeholder is expected to comply with RERA obligations applicable to their role?,Promoters only,Agents only,Buyers only,All relevant stakeholders,D,2
Q0534,A buyer requests time to review the Agreement for Sale. The agent should:,Respect the request.,Pressure the buyer to sign immediately.,Increase the booking amount.,Cancel the booking.,A,2
Q0535,A promoter asks the agent to advertise an approval that has not yet been granted. The correct response is:,Publish it.,Mention it verbally only.,Decline until the information can be verified and lawfully disclosed.,Share it only on social media.,C,2
Q0536,Which document generally records the agreed terms between promoter and allottee?,Booking receipt,Agreement for Sale,Sales brochure,Visiting card,B,2
Q0537,Consumer confidence is strengthened when:,Material information is disclosed accurately.,Important facts are hidden.,Verbal promises replace documents.,Buyers are discouraged from asking questions.,A,2
Q0538,"If a complaint is filed, parties should:",Destroy old records.,Cooperate honestly and produce relevant records.,Avoid communication.,Ignore official notices.,B,2
Q0539,The most reliable source for checking project updates is:,Official MahaRERA disclosures,WhatsApp forwards,Facebook groups,Newspaper advertisements,A,2
Q0540,The ultimate objective of the RERA framework is to:,Increase property prices.,"Promote transparency, accountability, and consumer protection.",Eliminate agreements.,Reduce documentation requirements.,B,2
Q0541,"Under RERA, the term ""Allottee"" generally refers to:",A contractor engaged by the promoter,"A person to whom a plot, apartment, or building has been allotted, sold, or otherwise transferred by the promoter",Any bank financing the project,The local planning authority,B,2
Q0542,Which of the following is NOT generally treated as an allottee under RERA?,A person who purchases an apartment from the promoter,A person to whom a plot is allotted,A tenant occupying a property under a simple rental arrangement only,A person who acquires rights through a lawful transfer from an allottee,C,2
Q0543,"The term ""Carpet Area"" refers primarily to:",The entire super built-up area,The usable floor area within an apartment as defined under the Act,The common lobby area,The parking area,B,2
Q0544,Balconies and open terraces are:,Always included in carpet area,Included only if covered with glass,Treated separately from carpet area under the statutory definition,Counted twice,C,2
Q0545,Which stakeholder develops a real estate project?,Promoter,Allottee,Bank,Engineer,A,2
Q0546,"Under RERA, ""Common Areas"" generally include:","Areas intended for common use by occupants, as defined under the Act",Only the living room of each apartment,Only private balconies,Personal parking spaces exclusively allotted to one owner,A,2
Q0547,"A ""Real Estate Agent"" is primarily a person who:",Facilitates the sale or purchase of real estate on behalf of others for consideration,Constructs buildings,Sanctions loans,Approves building plans,A,2
Q0548,"""Apartment"" under RERA generally means:","A self-contained unit intended for independent use, as defined by the Act",Only luxury flats,Only commercial offices,Only government housing,A,2
Q0549,"""Garage"" under RERA generally refers to:","A covered space intended for parking a vehicle, as defined under the Act",Any open parking space,A visitor parking area,Roadside parking,A,2
Q0550,Which term is most closely associated with the transfer of legal ownership after completion?,Conveyance,Advertisement,Booking,Brokerage,A,2
Q0551,The definition section of RERA is important because it:,Explains the meaning of legal terms used throughout the Act,Lists project prices,Specifies home loan rates,Defines municipal taxes,A,2
Q0552,"Which of the following is generally not a ""Common Area""?",Staircases intended for common use,Lift lobby,Individual living room inside a flat,Common corridors,C,2
Q0553,"The legal meaning of ""Carpet Area"" is important because it:",Helps identify the usable area of an apartment under the Act,Includes all common areas automatically,Includes the entire building area,Is used only for property tax,A,2
Q0554,Which stakeholder normally enters into an Agreement for Sale with the allottee?,Promoter,Municipal Commissioner,Architect,Surveyor,A,2
Q0555,"An ""Advertisement"" under RERA generally includes:",Any form of public communication intended to promote the sale of a project,Only newspaper advertisements,Only television commercials,Only brochures,A,2
Q0556,"The definition of ""Promoter"" may include:","A person who develops or causes a real estate project to be developed, as covered by the Act",Only contractors,Only engineers,Only architects,A,2
Q0557,Which term refers to the person purchasing a unit?,Allottee,Broker,Planner,Banker,A,2
Q0558,"Under RERA, legal definitions should generally be interpreted:",According to the definitions provided in the Act,According to advertisements only,According to local rumours,According to newspaper opinions,A,2
Q0559,Why is understanding Section 2 important for a real estate agent?,Because many later provisions depend on these definitions,Because it contains tax rates,Because it specifies stamp duty,Because it regulates banks,A,2
Q0560,"Which of the following best describes a ""Real Estate Project""?","Development of buildings or apartments, or conversion/development of land for the purpose covered by the Act",Construction of highways only,Manufacturing factories,Railway projects,A,2
Q0561,"The term ""Person"" under RERA is broad enough to include:","Individuals and other entities recognized by law, as defined in the Act",Only Indian citizens,Only companies,Only government departments,A,2
Q0562,Which definition is most important when calculating the saleable area under RERA?,Carpet Area,Parking Area,Road Width,Garden Area,A,2
Q0563,Which stakeholder markets property on behalf of a promoter?,Real Estate Agent,Architect,Engineer,Auditor,A,2
Q0564,A promoter should describe apartment area using:,The applicable legal definition under RERA and the approved project documents,Any convenient method,Estimated figures only,Super built-up area only,A,2
Q0565,Which definition helps distinguish private space from common facilities?,Common Areas,Advertisement,Brokerage,Registration,A,2
Q0566,Which term refers to a legally recognized transfer document for ownership?,Conveyance,Brochure,Receipt,Quotation,A,2
Q0567,"Under RERA, precise definitions are important because they:",Reduce ambiguity in interpretation and application of the law,Increase marketing opportunities,Eliminate documentation,Replace agreements,A,2
Q0568,A real estate agent should understand legal definitions primarily to:,Guide buyers accurately and avoid misrepresentation,Increase commission,Reduce paperwork,Promote only luxury projects,A,2
Q0569,Which section of the RERA Act primarily contains definitions?,Section 2,Section 18,Section 31,Section 59,A,2
Q0570,Mastering Section 2 helps because:,It forms the foundation for understanding the rest of the Act,It explains taxation rules only,It replaces the Agreement for Sale,It deals only with penalties,A,2
Q0571,A promoter receives the Occupancy Certificate for only one tower in a multi-tower project. An agent is asked to market possession for that tower. The agent should:,Verify whether possession for that specific tower is supported by the applicable approvals and disclosures.,Wait until the entire project is complete.,Refuse to sell any unit.,Ignore the Occupancy Certificate.,A,2
Q0572,A buyer asks whether a parking space automatically forms part of every apartment sale. The most appropriate response is:,"It depends on the applicable legal provisions, project documents, and the agreement.","Yes, always.","No, never.",Only for commercial buildings.,A,2
Q0573,"During a site visit, the sample flat contains premium fittings that are not included in the standard specification. The agent should:",Clearly explain which features are standard and which are optional.,State that every unit includes the premium fittings.,Avoid discussing specifications.,Tell the buyer to decide later.,A,2
Q0574,"A promoter launches a ""limited period offer."" Before advertising it, the agent should verify:","That the offer is genuine, documented, and consistent with project terms.",Only the discount amount.,Only the advertisement design.,Only the booking form.,A,2
Q0575,A buyer wants to purchase jointly with a family member. The agent should:,Ensure the transaction documents correctly reflect the proposed purchasers.,Register only one buyer.,Avoid joint ownership.,Leave the names blank.,A,2
Q0576,A promoter changes the project's contact details. The agent's best practice is to:,Update all future communications with the verified details.,Continue using the old details.,Ignore the change.,Wait for buyers to complain.,A,2
Q0577,A buyer asks for a copy of the sanctioned layout. The agent should:,Help the buyer obtain the officially available sanctioned plan where permissible.,Draw a sketch instead.,Refuse without explanation.,Show only marketing artwork.,A,2
Q0578,Which action best demonstrates fairness when multiple buyers want the same unit?,Follow a transparent allocation process consistent with applicable procedures.,Sell secretly to the highest bidder.,Give preference only to friends.,Delay informing other buyers.,A,2
Q0579,An agent notices that an online property listing contains outdated possession information. The agent should:,Correct or remove the inaccurate information promptly.,Leave it unchanged.,Wait until the booking.,Blame the website.,A,2
Q0580,A buyer asks whether a promised clubhouse will definitely be completed. The agent should:,Refer only to the approved project documents and official disclosures.,Guarantee completion.,Give a personal assurance.,Ignore the question.,A,2
Q0581,A professional agent should verify a buyer's identity primarily to:,Support proper documentation and transaction compliance.,Increase commission.,Estimate property value.,Avoid site visits.,A,2
Q0582,A promoter requests changes to a signed booking form. The agent should:,Ensure any changes are handled through proper documented procedures.,Edit the form without informing the buyer.,Ignore the buyer.,Replace the form secretly.,A,2
Q0583,"If two project documents appear inconsistent, the agent should:",Seek clarification before advising the buyer.,Choose the shorter document.,Ignore the difference.,Use whichever is older.,A,2
Q0584,Which practice best protects an agent during future disputes?,Maintaining dated written records of important communications.,Depending only on phone conversations.,Avoiding emails.,Destroying old documents.,A,2
Q0585,A buyer requests clarification on additional charges. The agent should:,Explain each disclosed charge separately using available documents.,State that charges are confidential.,Guess the amount.,Discuss only the basic price.,A,2
Q0586,A real estate agent should immediately inform buyers if:,A material project update affects previously shared information.,Office furniture changes.,The agent changes a mobile phone.,Weather conditions change.,A,2
Q0587,A buyer wants to cancel after paying the booking amount. The agent should:,Explain that the consequences depend on the agreement and applicable law.,Guarantee a full refund.,Refuse to discuss cancellation.,Promise immediate repayment.,A,2
Q0588,Which action demonstrates impartial advice?,Presenting both advantages and limitations of a project honestly.,Hiding all disadvantages.,Promoting only high-commission projects.,Criticizing competitors without facts.,A,2
Q0589,"Before arranging a booking, an agent should verify:",That the unit details and pricing match the current official information.,Only the buyer's occupation.,Only the office location.,Only the brochure cover.,A,2
Q0590,Which quality is most valuable when handling first-time homebuyers?,Patience and clear explanation.,High-pressure selling.,Technical jargon.,Aggressive negotiation.,A,2
Q0591,"If a buyer asks whether a future road will definitely increase property value, the correct response is:",Future market values cannot be guaranteed.,Property values always double.,The increase is legally assured.,Appreciation is fixed under RERA.,A,2
Q0592,A promoter issues a revised payment milestone. The agent should:,Ensure buyers receive the updated official schedule before further transactions.,Continue using the previous schedule.,Ignore the revision.,Create a new schedule independently.,A,2
Q0593,A buyer notices a mismatch between the unit number in two documents. The agent should:,Resolve the discrepancy before proceeding.,Ignore the mismatch.,Change the number verbally.,Continue the booking.,A,2
Q0594,Which behaviour best demonstrates professional independence?,Advising clients based on verified facts rather than sales pressure.,Following every instruction without question.,Making unsupported claims.,Concealing material information.,A,2
Q0595,A real estate agent should avoid collecting:,Documents that are unrelated or unnecessary for the transaction.,Required KYC documents.,Buyer contact information needed for the transaction.,Signed application forms.,A,2
Q0596,"If an allottee requests copies of important transaction documents after booking, the agent should:",Assist in providing or locating the documents that may properly be shared.,Refuse automatically.,Delay indefinitely.,Ask the buyer to search online without guidance.,A,2
Q0597,Which factor most improves an agent's professional credibility?,Consistent compliance with legal and ethical standards.,Expensive advertising.,A large office.,Social media popularity.,A,2
Q0598,"Before recommending a property to an investor, an agent should:",Understand the investor's objectives while avoiding guarantees about future performance.,Promise fixed annual returns.,Guarantee resale value.,Predict future prices.,A,2
Q0599,The most effective way to reduce misunderstandings in property transactions is:,Accurate documentation supported by clear communication.,Oral promises.,Last-minute changes.,Informal agreements.,A,2
Q0600,The hallmark of an excellent MahaRERA-certified real estate agent is:,"Professional competence, ethical conduct, transparency, and compliance with applicable law.",Maximum commission.,Fastest sales only.,Aggressive marketing.,A,2
